Name,Review,UpVotes,Rating,Date
BYJU'S,"It is very helpful for the students who are not getting the facility of tution at home. They can learn everything in this app of their syllabus without any discomfort. It is very encouraging to the students who are not good in any of their subjects.It also saves our time and we can learn a lot of th...
Full Review",1090,Rated 2 stars out of five stars,"April 28, 2020"
,,,,
lala ram,"It is fun based learning app because it explains each and every thing very easily and perfectly. Moving forward , its video sessions and graphics are very nice as well and it is a good app for anyone .",,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Gita Acharya,"Had the best experience by far with this app! Thank you, Byju's. The teachers teach in a very interactive manner, snd let concepts sink in with illustrations and everyday examples. The visuals aid in the learning process. The progress tracker is really helpful, alongwith the live classes. In all, a ...
Full Review",4,Rated 5 stars out of five stars,"April 12, 2020"
,,,,
md zeeshan,"This app is very good. I can learn with video lectures which is compatible for all kind of students. It supports various languages that impressed me. We can learn here step by step, it's a personalized learning app. Also the teachers are so good and helpful, that's why I like BYJU'S so much ����...
Full Review",2,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Arvind Kumar,"I had applied for BNAT(Byjus National Aptitude Test) and i tried to login for straight 40 minutes but it didn't respond. I tried logging in every 5-6 minutes but everytime ut said ""Something went wrong"" I was really hoping to attempt this exam but i am not able to. I check my network speed and there...
Full Review",17,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
BYJU'S,It is a very good app and I recommend the byjus app to do it in the animation.so that it is very interesting. Now also thier graphics are nice.but animating is the key for attraction.this app whould be a very hit if was free.�� hoping byjus read this and change.:-)^_^,,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Baljit kaur,"I liked it. It's a very nice app for students for studying. I would just recommend that when we give a wrong answer, it should also tell that why it is wrong and give the solution, in that when a answer is right it is giving the solution. But it is really a nice app",7,Rated 5 stars out of five stars,"April 18, 2020"
,,,,
BYJU'S,"It is the best app for studying.. It helps in exams so much.. There are great tutors on this app.. A student must download it. It cleared all our concepts very easily.. And they also have a facility of quiz and can play it with our friends.. I am a student and I like it... Please download it and it ...
Full Review",17,Rated 4 stars out of five stars,"April 20, 2020"
,,,,
GS 12,"A amazing app giving us a wonderful knowlegde by our option ,in great graphics . It seems like a movie of the subject that you are viewing . With almost no ads for the viewer. The teachers in this app are well trained in this manner so , that they can explain every topic in a smooth way in english, ...
Full Review",31,Rated 5 stars out of five stars,"April 22, 2020"
,,,,
Pawan Kunwar,"Great app indeed.. I m always eager to learn science better than others do... so I just made a point installing most of the apps with video lessons.... I do appreciate because its personalised.. each topic is divided rightly and taught with great thoughts and the the thing being appealing the most i...
Full Review",4,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
BYJU'S,"Such a nice app. I liked it so much. Our school has no Live classes but byjus has Live classes. It helps me memorise everything so quickly. Thanks byjus. It is the best learning app for classes 4 to 12 And byjus also has a early learning app. My little brother in class 2 loved it. It has no adds and...
Full Review",9,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
RK Jayasudha,"It is a very much good app for learning but there is a problem in quizo that after a match there is not a option of reporting about anything. Today i lost 1 match because there is a question that plant takes in ________ and given out ___________. And i give right answer to them that CO2 take in and ...
Full Review",19,Rated 5 stars out of five stars,"April 16, 2020"
,,,,
chellamuthu D,Very nice... But i have an issue regarding this app..... All the videos in this app are exciting but the graphics of that video eventually becomes worse due to which no one can clearly see the notes shown in that video. I hope you get my point of issue and fix that. Thank you,1,Rated 3 stars out of five stars,"April 22, 2020"
,,,,
BYJU'S,"This application is really helpful but, sometimes in the exercises the questions are wrong. For example right now when I was using byjus (btw grade 7) a question in the physics n.c.e.r.t examplers was wrong.....pls help and fix this problem.",,Rated 5 stars out of five stars,"April 25, 2020"
,,,,
Lalit Narayan,"There is a list of problems in this app : 1. Videos breaking and freezing even with full ( 4 G ) internet connection. 2. When we are doing a chapter and something new is about to be learnt in the next video , they ask questions from the video we haven't seen and they expect us to answer............ ...
Full Review",422,Rated 4 stars out of five stars,"April 23, 2020"
,,,,
BYJU'S,"This is the best application I have ever used ever . I had expected their lot of demands for money, subscription, advertisement, etc however I never came across any of these in my 4th day of use of this app. Definitely this app seems to think about changing life and career for students, best educato...
Full Review",11,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Sunil Kumar,"Very good app I love it.See once and forget never is what they say and also mean���.Their visualizations make complex concepts very easy and once you know the concept very well you are ready for life and for exam unlike if you just prepare questions you will be ready for exams not for life.When y...
Full Review",19,Rated 5 stars out of five stars,"April 23, 2020"
,,,,
Pushpraj yadav,"Dear sir/mam, this app is the best for learning. I am clearing all my doubts by this app. But, while doing so, I sometime face problem in the video quality. Some videos suddenly become blurry and remain so for the whole time. This makes me leave the video at half. Sir/Mam, it is my humble request to...
Full Review",854,Rated 5 stars out of five stars,"April 10, 2020"
,,,,
BYJU'S,"This is a beautiful app We get more information than any other ,such as textbooks etc I rate it as 5 � and recommend all to use and if can buy it from which you can see everything offline itself. Teachers teach chapters like movies ,full of graphics..... And I can assure you that it is �% beautifu...
Full Review",2,Rated 4 stars out of five stars,"April 16, 2020"
